{'GVBG': 1, 'GVBD': 0, 'CDAN': False, 'use_gpu': True, 'gpu': '0', 'test_person': 15, 'num_iterations': 10000, 'print_num': 10, 'shuffle': True, 'test_interval': 100, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'san', 'batch_size': 64, 'out_file': <_io.TextIOWrapper name='san\\log.txt' mode='w' encoding='cp936'>, 'prep': {'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_params': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'network': {'params': {'class_num': 3}}}iter: 00000, transferloss: 0.69553, classifier_loss: 1.10301, mean entropy:0.33347, gvbg:0.04231, gvbd:0.08655
iter: 01040, transferloss: 0.68101, classifier_loss: 0.26220, mean entropy:0.77141, gvbg:0.00978, gvbd:0.07053
iter: 01050, transferloss: 0.68703, classifier_loss: 0.31601, mean entropy:0.77046, gvbg:0.00850, gvbd:0.06674
iter: 01060, transferloss: 0.69184, classifier_loss: 0.21664, mean entropy:0.79266, gvbg:0.00881, gvbd:0.07125
iter: 01070, transferloss: 0.69561, classifier_loss: 0.24992, mean entropy:0.77185, gvbg:0.00910, gvbd:0.07463
iter: 01080, transferloss: 0.68538, classifier_loss: 0.29141, mean entropy:0.76846, gvbg:0.00877, gvbd:0.06742
iter: 01090, transferloss: 0.68167, classifier_loss: 0.24930, mean entropy:0.78446, gvbg:0.01083, gvbd:0.07064
iter: 01100, transferloss: 0.68382, classifier_loss: 0.25503, mean entropy:0.81230, gvbg:0.00662, gvbd:0.07113
iter: 01110, transferloss: 0.68524, classifier_loss: 0.26026, mean entropy:0.79913, gvbg:0.01080, gvbd:0.07622
iter: 01120, transferloss: 0.68218, classifier_loss: 0.31664, mean entropy:0.77640, gvbg:0.00815, gvbd:0.07008
iter: 01130, transferloss: 0.66804, classifier_loss: 0.21508, mean entropy:0.78248, gvbg:0.01042, gvbd:0.07332
